ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
100,6,7,7,6,6,6,6,7,7,7,7,7,7,7,6,6,6,6,6,7,5,6,7,7,7,7,7,6,7,6,6,6,6,7,6,6,2,7,7,7,6,6,3,7,7,6,7,6
101,6,7,7,6,6,7,6,7,7,6,6,7,7,6,6,6,6,6,6,7,7,7,6,7,7,7,7,6,6,6,7,7,4,6,7,7,6,7,7,3,7,7,2,7,7,7,6,7
102,7,4,7,7,6,6,7,7,7,7,7,7,7,6,7,4,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7
103,5,7,7,6,5,6,6,6,6,6,6,6,7,6,4,4,5,5,7,7,7,7,4,7,5,6,7,6,7,7,7,6,7,7,6,7,6,7,6,3,7,7,6,7,7,6,6,6
104,7,7,7,1,7,7,6,7,6,7,7,2,7,2,5,3,4,7,7,7,7,1,5,7,7,7,1,7,7,7,7,1,1,7,7,7,7,3,6,7,7,7,1,7,7,7,7,3
105,6,6,5,6,6,6,5,6,5,6,6,5,6,7,6,6,5,3,5,6,5,5,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,5,6,6,5,6
106,7,7,5,7,5,6,7,7,6,7,5,6,7,6,5,5,5,3,7,7,7,7,5,7,3,7,7,6,7,7,7,7,5,7,7,7,4,7,7,7,7,7,7,7,6,7,7,7
107,6,2,7,3,7,5,7,7,5,7,6,6,7,2,3,1,1,3,7,7,6,7,6,7,3,7,5,7,6,5,2,4,6,7,7,7,7,6,6,5,6,6,2,7,7,1,3,6
108,6,7,6,4,5,5,3,6,5,6,5,6,6,6,4,3,4,1,7,6,7,6,5,5,7,6,6,7,6,6,6,6,4,7,6,7,5,6,5,7,7,7,6,2,6,7,6,6
109,5,7,6,4,5,4,6,7,4,6,4,7,7,3,6,6,3,3,5,7,7,5,3,6,4,7,3,4,4,7,4,7,3,4,7,4,5,6,6,5,5,7,4,7,7,7,4,4
110,6,6,7,4,4,3,7,5,6,7,1,6,7,6,3,5,6,3,7,7,6,5,3,7,6,7,7,6,6,7,7,6,3,4,7,7,6,7,6,5,7,7,2,7,7,2,4,6
111,7,7,7,7,7,5,7,7,7,7,5,7,7,7,3,5,5,5,7,7,6,7,5,7,5,7,7,5,7,7,7,7,3,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6
112,6,7,6,6,7,6,5,6,5,6,7,6,6,5,5,7,5,5,5,6,5,5,6,6,5,7,5,5,6,6,5,5,6,7,7,7,6,6,5,5,7,7,4,6,7,6,5,5
113,6,7,7,7,4,5,7,7,6,6,7,6,6,5,4,4,4,5,7,6,6,6,5,6,6,7,6,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,4,7,6,6,6,5
114,7,7,7,1,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
